turn,overall_integration,red_integration,blue_integration,num_happy,num_moved,num_stayed,num_happy_red,num_moved_red,num_stayed_red,num_happy_blue,num_moved_blue,num_stayed_blue
0,2.82,4.69,2.01,646,0,0,116,0,0,530,0,0,
1,0.99,1.65,0.71,767,563,0,177,222,0,590,341,0,
2,0.54,0.9,0.39,1198,132,0,376,23,0,822,109,0,
3,0.37,0.62,0.27,1274,56,0,387,12,0,887,44,0,
4,0.34,0.57,0.25,1314,16,0,392,7,0,922,9,0,
5,0.32,0.53,0.23,1316,14,0,394,5,0,922,9,0,
6,0.31,0.52,0.22,1326,4,0,398,1,0,928,3,0,
7,0.31,0.51,0.22,1326,4,0,397,2,0,929,2,0,
8,0.3,0.49,0.21,1326,4,0,399,0,0,927,4,0,
9,0.3,0.49,0.21,1330,0,0,399,0,0,931,0,0,
